日期,区,经停病例数
2021/12/25,宝坻区,1
2021/12/26,宝坻区,0
2021/12/27,宝坻区,1
2021/12/28,宝坻区,1
2021/12/29,宝坻区,1
2021/12/30,宝坻区,2
2021/12/31,宝坻区,1
2022/1/1,宝坻区,0
2022/1/2,宝坻区,0
2022/1/3,宝坻区,0
2022/1/4,宝坻区,1
2022/1/5,宝坻区,0
2022/1/6,宝坻区,1
2022/1/7,宝坻区,3
2022/1/8,宝坻区,1
2022/1/9,宝坻区,0
2022/1/10,宝坻区,0
2022/1/11,宝坻区,0
2022/1/12,宝坻区,0
2022/1/13,宝坻区,0
2022/1/14,宝坻区,0
2022/1/15,宝坻区,0
2022/1/16,宝坻区,0
2022/1/17,宝坻区,0
2022/1/18,宝坻区,0
2022/1/19,宝坻区,0
2022/1/20,宝坻区,0
2022/1/21,宝坻区,0
2022/1/22,宝坻区,0
2022/1/23,宝坻区,0
2022/1/24,宝坻区,0
2022/1/25,宝坻区,0
2022/1/26,宝坻区,0
2022/1/27,宝坻区,0
2022/1/28,宝坻区,0
2022/1/29,宝坻区,0
2022/1/30,宝坻区,0
2022/1/31,宝坻区,0
2022/2/1,宝坻区,0
2021/12/23,红桥区,0
2021/12/24,红桥区,0
2021/12/25,红桥区,0
2021/12/26,红桥区,0
2021/12/27,红桥区,1
2021/12/28,红桥区,0
2021/12/29,红桥区,0
2021/12/30,红桥区,0
2021/12/31,红桥区,1
2022/1/1,红桥区,0
2022/1/2,红桥区,0
2022/1/3,红桥区,1
2022/1/4,红桥区,0
2022/1/5,红桥区,0
2022/1/6,红桥区,0
2022/1/7,红桥区,2
2022/1/8,红桥区,0
2022/1/9,红桥区,0
2022/1/10,红桥区,1
2022/1/11,红桥区,0
2022/1/12,红桥区,0
2022/1/13,红桥区,0
2022/1/14,红桥区,0
2022/1/15,红桥区,0
2022/1/16,红桥区,0
2022/1/17,红桥区,0
2022/1/18,红桥区,0
2022/1/19,红桥区,0
2022/1/20,红桥区,0
2022/1/21,红桥区,0
2022/1/22,红桥区,0
2022/1/23,红桥区,0
2022/1/24,红桥区,0
2022/1/25,红桥区,0
2022/1/26,红桥区,7
2022/1/27,红桥区,2
2022/1/28,红桥区,0
2022/1/29,红桥区,1
2022/1/30,红桥区,0
2022/1/31,红桥区,0
2022/2/1,红桥区,0
